Название,Год выпуска,Длительность,Жанры,Рейтинг КиноПоиск,Рейтинг IMDB,Рейтинг кинокритиков,Рейтинг российских кинокритиков,Голоса КиноПоиск,Голоса IMDB,Голоса кинокритиков,Голоса российских кинокритиков,Бюджет,Дата премьеры в России,Дата премьеры в мире,Мировые кассовые сборы
Интердевочка,1989,151.0,['драма'],7.324,7.0,0.0,0.0,133228,1606,0,0,112164013.0,1989-01-21T00:00:00.000Z,1989-01-21T00:00:00.000Z,112164013.0
Эдди «Орёл»,2015,106.0,"['биография', 'спорт', 'драма', 'комедия']",7.67,7.3,6.6,100.0,132945,103490,204,3,23000000.0,2016-04-07T00:00:00.000Z,2015-12-12T00:00:00.000Z,46152800.0
Дюплекс,2003,89.0,['комедия'],7.061,5.9,5.1,0.0,132766,63949,110,1,40000000.0,2004-01-08T00:00:00.000Z,2003-09-26T00:00:00.000Z,19322135.0
Топ Ган: Мэверик,2022,130.0,"['боевик', 'драма']",7.703,8.2,8.2,100.0,132763,760970,478,10,170000000.0,2022-05-18T00:00:00.000Z,2022-05-18T00:00:00.000Z,1495696292.0
Непрощенный,2018,110.0,['драма'],6.873,6.8,0.0,0.0,132647,1794,0,7,1080000.0,2018-09-27T00:00:00.000Z,2018-09-12T00:00:00.000Z,5969619.0
Афера века,2020,114.0,"['боевик', 'драма', 'комедия', 'криминал', 'биография']",7.363,7.1,6.7,0.0,132171,11338,6,0,112164013.0,2020-01-16T00:00:00.000Z,2020-01-16T00:00:00.000Z,7627100.0
P.S. Я люблю тебя,2007,126.0,"['драма', 'мелодрама', 'комедия']",7.704,7.0,4.5,0.0,132098,221482,104,0,30000000.0,2008-02-14T00:00:00.000Z,2007-12-20T00:00:00.000Z,156835339.0
Хористы,2004,95.0,"['драма', 'комедия', 'музыка']",8.281,7.8,6.5,66.6667,132019,68991,105,3,5995000.0,2005-08-25T00:00:00.000Z,2004-03-17T00:00:00.000Z,82032134.0
Явление,2008,86.0,"['фантастика', 'триллер', 'драма', 'приключения']",6.295,5.0,4.0,0.0,131991,221582,185,1,48000000.0,2008-06-12T00:00:00.000Z,2008-06-10T00:00:00.000Z,163403799.0
Битлджюс,1988,92.0,"['фэнтези', 'комедия']",7.354,7.5,7.1,0.0,131835,399264,117,0,15000000.0,2002-03-28T00:00:00.000Z,1988-03-29T00:00:00.000Z,73709560.0
}{отт@бь)ч,2006,92.0,"['фантастика', 'фэнтези', 'комедия', 'приключения']",6.305,6.2,0.0,0.0,131766,2122,0,0,112164013.0,2006-08-10T00:00:00.000Z,2006-09-22T00:00:00.000Z,1493021.0
Треугольник,2009,99.0,"['фантастика', 'триллер']",6.803,6.9,6.5,0.0,131724,137510,37,0,12000000.0,2009-08-27T00:00:00.000Z,2009-08-27T00:00:00.000Z,1309107.0
007: СПЕКТР,2015,148.0,"['боевик', 'триллер', 'приключения']",6.578,6.8,6.4,87.5,131605,477790,368,24,245000000.0,2015-11-06T00:00:00.000Z,2015-10-26T00:00:00.000Z,880674609.0
Слова,2012,103.0,"['триллер', 'драма', 'мелодрама', 'детектив']",7.511,7.0,4.6,28.5714,131535,82822,127,7,6000000.0,2012-11-29T00:00:00.000Z,2012-01-27T00:00:00.000Z,15950164.0
Страсти Христовы,2004,127.0,['драма'],7.898,7.2,6.0,0.0,131490,256805,276,1,30000000.0,2004-04-08T00:00:00.000Z,2004-02-25T00:00:00.000Z,609493825.0
Нимфоманка: Часть 1,2013,117.0,['драма'],7.055,6.9,7.0,85.3659,131398,134385,199,41,112164013.0,2014-02-13T00:00:00.000Z,2013-12-25T00:00:00.000Z,13264617.0
Два ствола,2013,109.0,"['боевик', 'комедия', 'криминал']",7.084,6.7,6.0,85.7143,131287,230835,186,14,61000000.0,2013-09-05T00:00:00.000Z,2013-07-30T00:00:00.000Z,131940411.0
Любовь между строк,2019,118.0,"['драма', 'мелодрама']",7.13,6.6,0.0,0.0,131204,1935,0,2,112164013.0,2020-08-06T00:00:00.000Z,2019-09-03T00:00:00.000Z,4869079.0
Жена путешественника во времени,2008,107.0,"['фантастика', 'фэнтези', 'драма', 'мелодрама', 'комедия']",7.652,7.1,5.1,75.0,131204,158676,157,4,39000000.0,2009-10-15T00:00:00.000Z,2009-08-14T00:00:00.000Z,101344412.0
Матч поинт,2005,124.0,"['триллер', 'драма', 'мелодрама']",7.614,7.6,7.2,0.0,131154,232599,214,1,15000000.0,2006-01-01T00:00:00.000Z,2005-05-12T00:00:00.000Z,85306374.0
Я делаю шаг,2023,115.0,['мелодрама'],7.837,6.4,0.0,0.0,131075,89,0,0,112164013.0,2023-09-07T00:00:00.000Z,2023-09-07T00:00:00.000Z,112164013.0
Убийца 2. Против всех,2018,122.0,"['боевик', 'триллер', 'драма', 'криминал', 'детектив']",7.194,7.1,6.3,80.0,131065,176431,286,10,35000000.0,2018-06-28T00:00:00.000Z,2018-06-18T00:00:00.000Z,75837743.0
Финч,2021,115.0,"['фантастика', 'драма']",7.197,6.9,6.6,100.0,131062,103571,172,3,112164013.0,2021-11-05T00:00:00.000Z,2021-11-05T00:00:00.000Z,112164013.0
Кровавый алмаз,2006,143.0,"['триллер', 'драма', 'приключения']",7.792,8.0,6.4,0.0,130677,602484,216,1,100000000.0,2007-02-01T00:00:00.000Z,2006-12-06T00:00:00.000Z,171720398.0
Дети шпионов,2001,88.0,"['фантастика', 'боевик', 'комедия', 'приключения', 'семейный']",6.587,5.6,7.2,0.0,130609,130745,132,1,35000000.0,2001-06-14T00:00:00.000Z,2001-03-18T00:00:00.000Z,147934180.0
Миссия невыполнима: Племя изгоев,2015,131.0,"['боевик', 'триллер', 'приключения']",7.097,7.4,7.5,89.4737,130602,421916,325,19,150000000.0,2015-08-06T00:00:00.000Z,2015-07-23T00:00:00.000Z,682714267.0
Потрошители,2009,111.0,"['фантастика', 'боевик', 'триллер']",7.052,6.3,4.4,80.0,130592,112323,153,5,32000000.0,2010-04-01T00:00:00.000Z,2010-01-01T00:00:00.000Z,18409891.0
Сокровище нации: Книга Тайн,2007,124.0,"['боевик', 'триллер', 'детектив', 'приключения']",7.453,6.5,4.8,0.0,130570,259789,128,1,130000000.0,2007-12-27T00:00:00.000Z,2007-12-13T00:00:00.000Z,457364600.0
Самый быстрый Indian,2005,127.0,"['драма', 'биография', 'спорт']",8.14,7.8,6.9,0.0,130303,61075,141,1,25000000.0,2006-07-20T00:00:00.000Z,2005-09-10T00:00:00.000Z,18297690.0
Любовь по вызову,2022,97.0,"['драма', 'комедия']",7.239,7.2,7.8,100.0,130124,41043,231,4,112164013.0,2022-01-22T00:00:00.000Z,2022-01-22T00:00:00.000Z,9795364.0
"Шпион, которого не было",2021,115.0,"['триллер', 'драма', 'боевик', 'детектив', 'приключения']",7.176,6.5,6.4,0.0,130059,14509,39,0,112164013.0,2022-07-27T00:00:00.000Z,2022-07-27T00:00:00.000Z,192880.0
Криминальный город 2,2022,106.0,"['криминал', 'боевик', 'триллер', 'детектив']",7.578,7.0,7.6,0.0,130012,13344,26,1,9000000.0,2022-06-16T00:00:00.000Z,2022-05-18T00:00:00.000Z,106247455.0
Американский пирог: Все в сборе,2012,113.0,['комедия'],7.117,6.7,5.3,80.0,129988,227879,184,5,50000000.0,2012-04-05T00:00:00.000Z,2012-04-04T00:00:00.000Z,234989584.0
Дом из песка и тумана,2003,126.0,"['драма', 'криминал']",7.744,7.5,7.1,0.0,129791,74081,181,1,16500000.0,2004-02-26T00:00:00.000Z,2003-12-19T00:00:00.000Z,16763804.0
Того,2019,113.0,"['драма', 'приключения', 'семейный', 'биография', 'история']",7.996,7.9,7.5,0.0,129681,58380,38,1,112164013.0,2019-12-20T00:00:00.000Z,2019-12-20T00:00:00.000Z,112164013.0
После прочтения сжечь,2008,92.0,"['драма', 'комедия', 'криминал', 'триллер']",6.87,7.0,6.9,0.0,129658,361941,245,2,37000000.0,2008-10-02T00:00:00.000Z,2008-08-27T00:00:00.000Z,163720069.0
Мы,2019,116.0,"['ужасы', 'триллер', 'детектив', 'комедия']",6.279,6.8,7.9,88.2353,129400,360190,551,17,20000000.0,2019-03-28T00:00:00.000Z,2019-03-08T00:00:00.000Z,256022707.0
Прошлой ночью в Сохо,2021,116.0,"['драма', 'триллер', 'ужасы']",6.858,7.0,6.9,64.7059,129131,189267,351,17,43000000.0,2021-11-25T00:00:00.000Z,2021-09-04T00:00:00.000Z,22957625.0
Машинист,2003,97.0,"['триллер', 'драма']",7.573,7.6,6.6,100.0,129072,426141,141,3,5000000.0,2004-10-21T00:00:00.000Z,2004-01-18T00:00:00.000Z,8203235.0
Дневник баскетболиста,1995,102.0,"['драма', 'криминал', 'биография', 'спорт']",7.835,7.3,5.3,0.0,128998,125443,42,1,112164013.0,1995-01-27T00:00:00.000Z,1995-01-27T00:00:00.000Z,2381087.0
Герцогиня,2008,105.0,"['триллер', 'драма', 'мелодрама', 'биография', 'история']",7.636,6.9,6.2,0.0,128858,88554,170,1,17550000.0,2009-02-05T00:00:00.000Z,2008-09-03T00:00:00.000Z,43306325.0
Пингвины мистера Поппера,2011,95.0,"['фэнтези', 'комедия', 'семейный']",6.819,6.0,5.2,0.0,128847,108501,143,1,55000000.0,2011-07-07T00:00:00.000Z,2011-06-16T00:00:00.000Z,187361754.0
Охотники за привидениями: Наследники,2021,124.0,"['фантастика', 'комедия', 'боевик', 'фэнтези']",6.962,7.0,6.1,100.0,128524,231735,308,11,75000000.0,2021-12-02T00:00:00.000Z,2021-10-08T00:00:00.000Z,204334455.0
11:14,2003,86.0,"['триллер', 'детектив', 'криминал', 'драма', 'ужасы']",7.316,7.1,6.9,0.0,128463,51003,11,2,6000000.0,2004-09-09T00:00:00.000Z,2003-05-16T00:00:00.000Z,3810792.0
Меланхолия,2011,130.0,"['фантастика', 'драма']",7.033,7.1,7.5,100.0,128461,200955,207,13,7400000.0,2011-07-07T00:00:00.000Z,2011-05-18T00:00:00.000Z,15946321.0
Анатомия падения,2023,151.0,"['драма', 'детектив']",6.809,7.6,8.5,92.8571,128306,170433,285,14,112164013.0,2023-10-19T00:00:00.000Z,2023-05-21T00:00:00.000Z,36051506.0
"Гуляй, Вася!",2016,96.0,['комедия'],6.633,6.4,0.0,100.0,128231,1482,0,5,480000.0,2017-02-14T00:00:00.000Z,2017-02-14T00:00:00.000Z,4756578.0
Разлом Сан-Андреас,2015,114.0,"['боевик', 'триллер', 'приключения']",6.215,6.1,5.2,63.6364,128046,264921,253,11,110000000.0,2015-05-28T00:00:00.000Z,2015-05-21T00:00:00.000Z,474590832.0
Козырные тузы,2007,109.0,"['боевик', 'триллер', 'драма', 'комедия', 'криминал']",7.342,6.6,4.5,0.0,128045,154455,157,1,17000000.0,2007-01-25T00:00:00.000Z,2006-12-09T00:00:00.000Z,57103895.0
Мастер меча,2020,100.0,"['история', 'боевик']",7.54,6.8,6.4,0.0,128010,5891,14,0,112164013.0,2020-09-23T00:00:00.000Z,2020-09-23T00:00:00.000Z,1516150.0
Миссия: невыполнима,1996,110.0,"['боевик', 'триллер', 'приключения']",7.472,7.2,6.1,0.0,127939,484275,66,0,80000000.0,1996-05-20T00:00:00.000Z,1996-05-20T00:00:00.000Z,457696359.0
Патруль времени,2013,98.0,"['фантастика', 'боевик', 'драма', 'детектив']",6.941,7.4,6.8,66.6667,127797,318655,108,9,112164013.0,2014-12-04T00:00:00.000Z,2014-01-13T00:00:00.000Z,4824499.0
Пенелопа,2006,99.0,"['фэнтези', 'мелодрама', 'комедия']",7.095,6.7,0.0,0.0,127766,67688,0,0,15000000.0,2007-08-02T00:00:00.000Z,2006-09-08T00:00:00.000Z,21156270.0
Монгол,2007,126.0,"['боевик', 'драма', 'приключения', 'военный', 'биография', 'история']",7.143,7.2,7.1,0.0,127662,50152,102,1,18000000.0,2007-09-20T00:00:00.000Z,2007-09-08T00:00:00.000Z,26527510.0
Неизвестный,2011,113.0,"['боевик', 'триллер', 'детектив']",7.353,6.8,5.8,66.6667,127627,272379,201,3,30000000.0,2011-02-17T00:00:00.000Z,2011-02-16T00:00:00.000Z,130786397.0
Блондинка в законе,2001,96.0,"['мелодрама', 'комедия']",6.798,6.5,6.3,0.0,127277,262229,151,1,18000000.0,2001-10-10T00:00:00.000Z,2001-06-26T00:00:00.000Z,141774679.0
Белоснежка и охотник,2012,127.0,"['фэнтези', 'боевик', 'драма', 'приключения', 'фантастика', 'триллер', 'мелодрама', 'военный', 'биография']",6.057,6.1,5.5,36.8421,127274,307846,236,19,170000000.0,2012-06-14T00:00:00.000Z,2012-05-14T00:00:00.000Z,396592829.0
Эксперимент «Ведьма»,2022,137.0,"['боевик', 'фантастика', 'триллер']",6.928,6.3,6.5,0.0,127198,7813,17,0,7000000.0,2022-09-09T00:00:00.000Z,2022-06-15T00:00:00.000Z,23068596.0
Вторжение,2019,129.0,"['фантастика', 'боевик']",6.094,5.6,0.0,55.5556,127185,6388,0,9,11328000.0,2020-01-01T00:00:00.000Z,2020-01-03T00:00:00.000Z,16653687.0
Лучшее во мне,2014,118.0,"['драма', 'мелодрама']",7.267,6.7,3.7,0.0,127049,79023,82,1,26000000.0,2014-11-13T00:00:00.000Z,2014-10-07T00:00:00.000Z,38609668.0
Такси 5,2018,102.0,"['боевик', 'комедия', 'криминал']",4.678,4.6,0.0,0.0,127016,11354,0,3,112164013.0,2018-05-10T00:00:00.000Z,2018-04-07T00:00:00.000Z,38598227.0
Пекло,2007,107.0,"['фантастика', 'триллер']",7.274,7.2,6.8,0.0,126925,274419,169,2,50000000.0,2007-04-12T00:00:00.000Z,2007-03-23T00:00:00.000Z,32017803.0
В объятиях лжи,2018,98.0,"['триллер', 'драма', 'детектив']",6.462,6.1,5.7,100.0,126800,40333,283,7,112164013.0,2019-03-21T00:00:00.000Z,2018-09-06T00:00:00.000Z,18653107.0
Солт,2010,100.0,"['боевик', 'триллер']",6.011,6.5,6.0,50.0,126662,335717,249,8,110000000.0,2010-07-29T00:00:00.000Z,2010-07-19T00:00:00.000Z,293503354.0
Солдаты неудачи,2008,121.0,"['боевик', 'комедия', 'военный']",6.83,7.1,7.1,0.0,126560,463423,251,1,92000000.0,2008-08-13T00:00:00.000Z,2008-08-11T00:00:00.000Z,188072649.0
Вратарь Галактики,2020,115.0,"['приключения', 'фантастика']",5.032,4.7,0.0,27.2727,126551,2734,0,11,9436800.0,2020-08-27T00:00:00.000Z,2020-09-04T00:00:00.000Z,1409892.0
Бросок кобры,2009,118.0,"['фантастика', 'боевик', 'триллер', 'приключения']",6.287,5.7,4.6,60.0,126242,217343,168,5,175000000.0,2009-08-06T00:00:00.000Z,2009-07-27T00:00:00.000Z,302469019.0
Меню,2022,107.0,"['триллер', 'комедия']",6.721,7.2,7.5,80.0,126182,445247,334,5,35000000.0,2022-09-10T00:00:00.000Z,2022-09-10T00:00:00.000Z,79628200.0
Домовой,2024,95.0,"['ужасы', 'фэнтези']",6.048,4.3,0.0,0.0,126023,288,0,1,1380000.0,2024-04-04T00:00:00.000Z,2024-04-04T00:00:00.000Z,112164013.0
На пятьдесят оттенков темнее,2017,118.0,"['триллер', 'драма', 'мелодрама', 'детектив']",5.269,4.6,3.3,38.4615,126001,115636,208,13,55000000.0,2017-02-09T00:00:00.000Z,2017-02-07T00:00:00.000Z,381545846.0
Мой папа — вождь,2022,94.0,"['семейный', 'комедия', 'приключения']",6.45,0.0,0.0,0.0,125983,0,0,0,1080000.0,2022-05-26T00:00:00.000Z,2022-05-26T00:00:00.000Z,112164013.0
Готика,2003,98.0,"['ужасы', 'триллер', 'детектив']",7.072,5.8,4.1,0.0,125899,121718,165,1,40000000.0,2004-01-29T00:00:00.000Z,2003-11-13T00:00:00.000Z,141591324.0
Дом большой мамочки,2000,99.0,"['боевик', 'комедия', 'криминал']",6.703,5.2,4.4,0.0,125881,92761,82,0,30000000.0,2000-09-06T00:00:00.000Z,2000-05-31T00:00:00.000Z,173959438.0
Три дня на побег,2010,133.0,"['триллер', 'драма', 'боевик', 'криминал', 'мелодрама']",7.663,7.3,5.8,33.3333,125874,210921,169,6,30000000.0,2010-11-18T00:00:00.000Z,2010-11-09T00:00:00.000Z,67448651.0
Пять ночей с Фредди,2023,109.0,"['ужасы', 'драма']",5.796,5.4,4.6,0.0,125802,109896,213,3,20000000.0,2023-10-25T00:00:00.000Z,2023-10-25T00:00:00.000Z,291493620.0
Демон внутри,2016,86.0,"['ужасы', 'триллер', 'детектив']",6.471,6.8,7.0,100.0,125790,150790,108,6,112164013.0,2017-03-23T00:00:00.000Z,2016-09-09T00:00:00.000Z,6170043.0
Оз: Великий и Ужасный,2013,127.0,"['фэнтези', 'приключения', 'комедия', 'семейный']",6.259,6.3,6.0,63.1579,125781,217781,270,19,215000000.0,2013-03-07T00:00:00.000Z,2013-02-14T00:00:00.000Z,493311825.0
Тихоокеанский рубеж 2,2018,110.0,"['фантастика', 'боевик', 'приключения']",5.73,5.6,5.0,54.5455,125626,131747,262,11,150000000.0,2018-03-22T00:00:00.000Z,2018-03-21T00:00:00.000Z,290930148.0
Гоголь. Начало,2017,100.0,"['приключения', 'триллер', 'детектив', 'фэнтези']",6.201,5.8,0.0,80.0,125597,2165,0,15,112164013.0,2017-08-31T00:00:00.000Z,2017-09-15T00:00:00.000Z,7939761.0
Фаворитка,2018,119.0,"['драма', 'комедия', 'биография', 'история']",7.282,7.5,8.5,93.75,125582,245344,430,16,15000000.0,2019-01-31T00:00:00.000Z,2018-08-30T00:00:00.000Z,95918706.0
Страшные истории для рассказа в темноте,2019,108.0,"['ужасы', 'триллер']",6.312,6.2,6.4,60.0,125357,88687,235,5,25000000.0,2019-08-08T00:00:00.000Z,2019-08-07T00:00:00.000Z,104545505.0
Телохранитель,1992,129.0,"['мелодрама', 'музыка', 'триллер']",7.916,6.4,5.2,0.0,125175,152628,50,1,40000000.0,1994-02-27T00:00:00.000Z,1992-11-25T00:00:00.000Z,410945720.0
Прогулка,2015,123.0,"['биография', 'драма', 'триллер']",7.31,7.3,7.1,93.75,125156,137938,279,16,35000000.0,2015-10-15T00:00:00.000Z,2015-09-26T00:00:00.000Z,61181942.0
Мой Хатико,2023,125.0,['драма'],8.545,7.2,0.0,0.0,125075,943,0,0,112164013.0,2023-08-31T00:00:00.000Z,2023-03-31T00:00:00.000Z,42463099.0
Индиана Джонс и Королевство хрустального черепа,2008,123.0,"['фантастика', 'боевик', 'триллер', 'приключения']",6.848,6.2,6.9,0.0,124875,500549,307,2,185000000.0,2008-05-22T00:00:00.000Z,2008-05-18T00:00:00.000Z,786636033.0
Земля будущего,2015,130.0,"['фантастика', 'приключения', 'семейный']",6.242,6.4,5.9,71.4286,124873,194833,302,7,190000000.0,2015-05-21T00:00:00.000Z,2015-05-09T00:00:00.000Z,209035668.0
Бивень,2014,102.0,"['ужасы', 'комедия', 'драма']",5.693,5.4,5.7,50.0,124819,67608,133,6,3000000.0,2014-10-09T00:00:00.000Z,2014-09-06T00:00:00.000Z,1882074.0
Мышиная охота,1997,98.0,"['комедия', 'семейный']",7.648,6.5,5.6,0.0,124798,62195,32,0,38000000.0,1998-05-30T00:00:00.000Z,1997-12-19T00:00:00.000Z,122417389.0
Чудо на Гудзоне,2016,96.0,"['драма', 'биография']",7.415,7.4,7.2,100.0,124787,308820,345,12,60000000.0,2016-09-08T00:00:00.000Z,2016-09-02T00:00:00.000Z,243870033.0
Крик,1996,111.0,"['ужасы', 'триллер', 'детектив']",7.272,7.4,7.1,0.0,124653,412196,128,2,14000000.0,1998-01-23T00:00:00.000Z,1996-12-18T00:00:00.000Z,173046663.0
Голгофа,2013,102.0,"['драма', 'криминал', 'детектив']",7.744,7.4,7.7,100.0,124554,65030,173,13,7000000.0,2014-04-17T00:00:00.000Z,2014-01-19T00:00:00.000Z,16887741.0
Несносные боссы,2011,98.0,"['комедия', 'криминал']",6.842,6.9,6.3,42.8571,124460,477348,223,7,35000000.0,2011-08-04T00:00:00.000Z,2011-06-30T00:00:00.000Z,209838559.0
Место встречи,2017,105.0,"['триллер', 'драма', 'детектив']",7.427,7.0,0.0,100.0,124321,13064,0,3,112164013.0,2018-02-08T00:00:00.000Z,2017-11-09T00:00:00.000Z,5784397.0
Superнянь,2014,84.0,['комедия'],6.95,6.7,0.0,0.0,124272,12581,0,2,4360000.0,2014-11-20T00:00:00.000Z,2014-01-16T00:00:00.000Z,20334564.0
Жизнь короля,2013,101.0,['драма'],7.877,6.9,5.4,0.0,124266,8430,13,0,112164013.0,2013-06-22T00:00:00.000Z,2013-06-22T00:00:00.000Z,44161.0
Неуправляемый,2010,94.0,"['триллер', 'боевик']",7.307,6.8,6.9,100.0,124227,212395,195,6,100000000.0,2010-11-25T00:00:00.000Z,2010-10-26T00:00:00.000Z,167805466.0
Неоспоримый 3,2010,96.0,"['боевик', 'драма', 'криминал', 'спорт']",7.722,7.3,5.3,0.0,124212,45716,226,0,3000000.0,2010-04-17T00:00:00.000Z,2010-04-17T00:00:00.000Z,282548.0
Начни сначала,2018,103.0,"['драма', 'мелодрама', 'комедия']",6.586,5.8,5.1,66.6667,124207,31228,117,3,16000000.0,2019-01-10T00:00:00.000Z,2018-12-06T00:00:00.000Z,72282227.0
Падение Олимпа,2013,120.0,"['боевик', 'триллер']",6.341,6.5,5.4,63.6364,124012,298567,200,11,70000000.0,2013-04-04T00:00:00.000Z,2013-03-18T00:00:00.000Z,170270201.0
SuperПерцы,2007,113.0,['комедия'],6.938,7.6,7.4,0.0,124012,656647,207,1,20000000.0,2007-09-27T00:00:00.000Z,2007-08-17T00:00:00.000Z,169871719.0
Убежище,2010,112.0,"['ужасы', 'триллер']",6.844,6.0,3.9,25.0,123992,37708,27,4,22000000.0,2011-04-21T00:00:00.000Z,2010-03-27T00:00:00.000Z,851517.0
Вор,1997,98.0,"['драма', 'криминал']",7.948,7.6,0.0,0.0,123982,5753,0,0,112164013.0,1997-10-13T00:00:00.000Z,1997-08-31T00:00:00.000Z,1126115.0
Давай разведемся!,2019,92.0,['комедия'],6.216,5.5,0.0,81.25,123944,607,0,16,456000.0,2019-11-21T00:00:00.000Z,2019-11-23T00:00:00.000Z,1712086.0
Грозный папа,2022,90.0,"['комедия', 'фэнтези', 'приключения', 'семейный']",7.238,4.2,0.0,0.0,123925,122,0,0,3184045.68,2022-10-27T00:00:00.000Z,2022-10-27T00:00:00.000Z,2478017.0
Дорога перемен,2008,119.0,"['драма', 'мелодрама']",7.481,7.3,6.6,0.0,123840,229178,213,2,35000000.0,2009-01-29T00:00:00.000Z,2008-12-15T00:00:00.000Z,75226021.0
Кикбоксер,1989,97.0,"['боевик', 'триллер', 'спорт']",7.324,6.4,4.9,0.0,123606,63252,11,0,1500000.0,1989-04-20T00:00:00.000Z,1989-04-20T00:00:00.000Z,14697005.0
Фонтан,2006,97.0,"['фантастика', 'драма', 'мелодрама', 'детектив']",7.448,7.2,6.0,75.0,123567,252173,204,4,35000000.0,2007-03-01T00:00:00.000Z,2006-09-04T00:00:00.000Z,15978422.0
Арахисовый сокол,2019,97.0,"['драма', 'комедия', 'приключения']",7.564,7.6,7.5,100.0,123462,112095,226,5,6200000.0,2019-10-24T00:00:00.000Z,2019-03-09T00:00:00.000Z,23712097.0
Повелитель стихий,2010,103.0,"['фэнтези', 'боевик', 'приключения', 'семейный']",5.23,4.0,2.9,40.0,123380,177649,191,5,150000000.0,2010-07-08T00:00:00.000Z,2010-06-30T00:00:00.000Z,319713881.0
Мечтатели,2003,116.0,"['драма', 'мелодрама']",7.356,7.1,6.2,0.0,123328,136809,162,2,15000000.0,2004-03-18T00:00:00.000Z,2003-09-01T00:00:00.000Z,15121165.0
"Гуляй, Вася! Свидание на Бали",2021,109.0,['комедия'],6.305,4.8,0.0,55.5556,123320,294,0,9,1440000.0,2021-03-04T00:00:00.000Z,2021-03-04T00:00:00.000Z,199291.0
РобоКоп,2014,117.0,"['фантастика', 'боевик', 'криминал']",6.136,6.1,5.7,38.4615,123297,243318,220,13,100000000.0,2014-02-13T00:00:00.000Z,2014-01-30T00:00:00.000Z,242688965.0
Неадекватные люди 2,2020,135.0,"['драма', 'комедия']",7.286,6.8,0.0,100.0,123226,907,0,4,112164013.0,2020-12-10T00:00:00.000Z,2020-12-10T00:00:00.000Z,112164013.0
Винни-Пух: Кровь и мёд,2023,84.0,['ужасы'],4.465,2.9,2.3,0.0,123212,33228,65,3,100000.0,2023-02-16T00:00:00.000Z,2023-01-24T00:00:00.000Z,7717044.0
Либерея: Охотники за сокровищами,2022,105.0,['приключения'],6.708,5.8,0.0,50.0,123189,454,0,4,4800000.0,2022-10-27T00:00:00.000Z,2022-10-27T00:00:00.000Z,2768856.0
Смерть на Ниле,2020,127.0,"['детектив', 'криминал', 'драма']",6.485,6.3,5.9,38.4615,123033,199382,291,13,90000000.0,2022-02-10T00:00:00.000Z,2022-02-09T00:00:00.000Z,137307235.0
Опасные пассажиры поезда 123,2009,102.0,"['триллер', 'боевик', 'криминал']",7.064,6.4,5.4,0.0,123032,211984,229,1,100000000.0,2009-09-03T00:00:00.000Z,2009-06-04T00:00:00.000Z,150166126.0
Талантливый мистер Рипли,1999,139.0,"['триллер', 'драма', 'криминал']",7.695,7.4,7.4,0.0,122998,258966,142,1,40000000.0,2000-04-06T00:00:00.000Z,1999-12-12T00:00:00.000Z,128798265.0
Анна Каренина,2012,129.0,"['драма', 'мелодрама']",6.837,6.6,6.5,73.0769,122973,109024,192,26,112164013.0,2013-01-10T00:00:00.000Z,2012-09-04T00:00:00.000Z,69987859.0
Тронутые,2014,101.0,"['драма', 'комедия', 'приключения']",7.161,7.0,5.0,0.0,122963,16631,20,1,112164013.0,2016-03-24T00:00:00.000Z,2014-06-18T00:00:00.000Z,41760.0
Морбиус,2022,104.0,"['ужасы', 'фантастика', 'боевик', 'фэнтези']",5.604,5.1,3.8,0.0,122962,162034,286,1,75000000.0,2022-03-23T00:00:00.000Z,2022-03-23T00:00:00.000Z,167460961.0
Соседка,2004,109.0,"['мелодрама', 'комедия']",7.074,6.7,5.6,0.0,122918,249165,160,1,25000000.0,2004-07-29T00:00:00.000Z,2004-02-18T00:00:00.000Z,30381722.0
Перевозчик 2,2005,87.0,"['боевик', 'триллер', 'криминал']",6.953,6.3,5.4,0.0,122836,219678,121,1,32000000.0,2005-09-08T00:00:00.000Z,2005-08-03T00:00:00.000Z,85044447.0
Воображариум доктора Парнаса,2009,123.0,"['фэнтези', 'приключения', 'комедия', 'детектив']",6.988,6.8,6.0,42.8571,122785,155466,195,7,30000000.0,2010-01-28T00:00:00.000Z,2009-05-22T00:00:00.000Z,61808775.0
Зеленый Фонарь,2011,114.0,"['фантастика', 'боевик', 'приключения']",5.915,5.5,4.6,0.0,122745,301994,248,5,200000000.0,2011-06-16T00:00:00.000Z,2011-06-14T00:00:00.000Z,219851172.0
Ночные игры,2018,100.0,"['боевик', 'триллер', 'комедия', 'криминал', 'приключения']",7.029,6.9,6.9,100.0,122615,263323,256,3,37000000.0,2018-02-22T00:00:00.000Z,2018-02-15T00:00:00.000Z,117679066.0
Кладбище домашних животных,2019,101.0,['ужасы'],5.699,5.7,5.9,46.1538,122523,101169,276,13,21000000.0,2019-04-04T00:00:00.000Z,2019-03-16T00:00:00.000Z,113118226.0
Ты водишь!,2018,100.0,"['боевик', 'комедия']",6.731,6.5,5.5,100.0,122508,153786,203,3,28000000.0,2018-06-28T00:00:00.000Z,2018-06-14T00:00:00.000Z,78230625.0
Три икса,2002,124.0,"['боевик', 'триллер', 'приключения']",7.128,5.8,5.6,0.0,122381,189345,179,1,70000000.0,2002-09-18T00:00:00.000Z,2002-08-09T00:00:00.000Z,277448382.0
