Название,Год выпуска,Длительность,Жанры,Рейтинг КиноПоиск,Рейтинг IMDB,Рейтинг кинокритиков,Рейтинг российских кинокритиков,Голоса КиноПоиск,Голоса IMDB,Голоса кинокритиков,Голоса российских кинокритиков,Бюджет,Дата премьеры в России,Дата премьеры в мире,Мировые кассовые сборы
Тельма и Луиза,1991,130.0,"['драма', 'комедия', 'криминал']",7.691,7.6,8.0,0.0,33738,180838,155,1,16500000.0,1991-05-20T00:00:00.000Z,1991-05-20T00:00:00.000Z,45454078.0
Укрытие,2011,121.0,"['драма', 'триллер']",6.742,7.3,8.0,90.9091,33709,111720,167,11,5000000.0,2012-04-26T00:00:00.000Z,2011-01-24T00:00:00.000Z,3741098.0
Вдовы,2018,129.0,"['триллер', 'драма', 'криминал']",6.318,6.8,8.1,66.6667,33708,106249,425,9,42000000.0,2018-11-22T00:00:00.000Z,2018-09-08T00:00:00.000Z,75984700.0
Астрал 5: Красная дверь,2023,107.0,['ужасы'],5.66,5.5,5.0,0.0,33695,57123,118,3,16000000.0,2023-06-27T00:00:00.000Z,2023-06-27T00:00:00.000Z,189086877.0
Игры джентльменов,2004,100.0,"['триллер', 'комедия', 'криминал']",6.953,6.2,6.1,0.0,33676,110267,189,0,35000000.0,2004-03-26T00:00:00.000Z,2004-03-26T00:00:00.000Z,76665191.0
Тряпичный союз,2014,97.0,"['комедия', 'драма']",6.317,6.4,0.0,75.0,33654,607,0,12,112164013.0,2016-03-03T00:00:00.000Z,2016-02-15T00:00:00.000Z,29242.0
Преступления будущего,2022,107.0,"['фантастика', 'триллер']",5.651,5.8,6.8,63.6364,33646,43958,285,11,112164013.0,2022-09-01T00:00:00.000Z,2022-05-23T00:00:00.000Z,4551565.0
Секретарша,2001,107.0,"['драма', 'мелодрама', 'комедия']",6.992,6.9,6.8,0.0,33632,102946,155,1,4000000.0,2003-01-13T00:00:00.000Z,2002-01-11T00:00:00.000Z,9304609.0
Эксперимент 2: Волна,2008,107.0,"['триллер', 'драма']",7.618,7.6,5.8,0.0,33623,117528,18,0,5450000.0,2008-12-11T00:00:00.000Z,2008-01-18T00:00:00.000Z,31280493.0
Бойся своих желаний,2017,90.0,"['ужасы', 'фэнтези', 'драма']",5.525,5.1,4.0,0.0,33617,23964,91,1,12000000.0,2018-01-11T00:00:00.000Z,2017-07-07T00:00:00.000Z,23468586.0
Корсиканец,2004,92.0,"['боевик', 'комедия', 'криминал']",6.995,5.8,0.0,0.0,33615,4484,0,1,112164013.0,2005-01-06T00:00:00.000Z,2004-10-06T00:00:00.000Z,18914670.0
Шпионские игры,2001,122.0,"['боевик', 'триллер', 'криминал']",7.423,7.1,6.2,0.0,33612,171788,135,1,115000000.0,2002-02-07T00:00:00.000Z,2001-11-19T00:00:00.000Z,143049560.0
Друг на продажу,2021,102.0,['комедия'],6.854,0.0,0.0,0.0,33604,0,0,1,112164013.0,2021-11-11T00:00:00.000Z,2021-11-11T00:00:00.000Z,112164013.0
Женатый холостяк,2022,95.0,['комедия'],7.148,0.0,0.0,0.0,33592,0,0,0,112164013.0,2022-09-22T00:00:00.000Z,2022-09-22T00:00:00.000Z,112164013.0
Монти Пайтон и Священный Грааль,1975,91.0,"['комедия', 'фэнтези', 'приключения']",7.802,8.2,8.5,0.0,33582,583399,83,1,298447.5,1975-03-14T00:00:00.000Z,1975-03-14T00:00:00.000Z,1821082.0
СуперБобровы. Народные мстители,2018,90.0,"['комедия', 'семейный']",5.315,3.7,0.0,25.0,33574,183,0,4,1680000.0,2018-10-20T00:00:00.000Z,2018-10-20T00:00:00.000Z,2879785.0
Ускользающая красота,1995,118.0,"['драма', 'мелодрама', 'детектив']",7.334,6.5,5.9,0.0,33571,31356,51,1,10000000.0,1996-10-19T00:00:00.000Z,1996-03-28T00:00:00.000Z,4762310.0
Сорвать куш,2009,88.0,"['боевик', 'триллер', 'драма', 'мелодрама', 'комедия', 'криминал']",6.821,6.3,5.6,0.0,33568,7667,45,1,6600000.0,2009-09-11T00:00:00.000Z,2009-09-11T00:00:00.000Z,167938.0
Неспящие в Сеуле,2023,103.0,"['мелодрама', 'комедия']",7.211,6.1,0.0,0.0,33559,632,0,0,3000000.0,2024-03-14T00:00:00.000Z,2023-11-29T00:00:00.000Z,2979510.0
Во всем виноват енот,2016,106.0,['драма'],6.669,6.3,6.6,50.0,33531,18503,66,4,112164013.0,2017-07-06T00:00:00.000Z,2016-09-02T00:00:00.000Z,798214.0
Очень плохие родители,2021,103.0,['комедия'],7.131,6.0,0.0,0.0,33516,1442,0,0,112164013.0,2023-06-15T00:00:00.000Z,2021-12-11T00:00:00.000Z,3812035.0
Под солнцем Тосканы,2003,113.0,"['драма', 'мелодрама', 'комедия']",7.407,6.7,6.2,0.0,33512,62315,154,0,18000000.0,2003-09-20T00:00:00.000Z,2003-09-20T00:00:00.000Z,58878723.0
Имитатор,1995,123.0,"['триллер', 'драма', 'детектив']",7.112,6.6,6.5,0.0,33507,69145,58,0,20000000.0,1996-09-01T00:00:00.000Z,1995-10-19T00:00:00.000Z,32051917.0
Главная гонка,2023,108.0,"['драма', 'спорт', 'биография']",7.55,6.4,6.9,0.0,33504,1074,30,0,112164013.0,2023-06-13T00:00:00.000Z,2023-06-13T00:00:00.000Z,448235.0
Скорая,2022,136.0,"['боевик', 'криминал', 'триллер']",6.143,6.1,5.8,0.0,33503,106848,255,1,40000000.0,2022-03-16T00:00:00.000Z,2022-03-16T00:00:00.000Z,52303589.0
