name,type,year,movieLength,genres,rating.kp,rating.imdb,rating.filmCritics,rating.russianFilmCritics,rating.await,votes.kp,votes.imdb,votes.filmCritics,votes.russianFilmCritics,votes.await,budget.currency,budget.value,premiere.country,premiere.digital,premiere.cinema,premiere.bluray,premiere.dvd,premiere.russia,premiere.world,fees.russia.value,fees.russia.currency,fees.usa.value,fees.usa.currency,fees.world.value,fees.world.currency,distributors.distributor,distributors.distributorRelease,fees.russia,fees.usa,fees.world
Другой мир: Войны крови,movie,2016,92.0,"[{'name': 'ужасы'}, {'name': 'фэнтези'}, {'name': 'боевик'}, {'name': 'приключения'}, {'name': 'триллер'}]",5.812,5.8,4.0,60.0,,62142,83033,96,5,0,$,35000000.0,,2017-03-30T00:00:00.000Z,,,,2016-11-24T00:00:00.000Z,2016-11-24T00:00:00.000Z,3944665.0,$,30353973.0,$,81093313.0,$,WDSSPR,,,,
Ловец снов,movie,2003,136.0,"[{'name': 'ужасы'}, {'name': 'фантастика'}, {'name': 'триллер'}, {'name': 'драма'}]",6.646,5.5,4.8,0.0,,62123,98005,181,0,0,$,68000000.0,,,,2014-09-25T00:00:00.000Z,2003-11-04T00:00:00.000Z,2003-06-05T00:00:00.000Z,2003-03-06T00:00:00.000Z,1402240.0,$,33715436.0,$,75715436.0,$,Каро-Премьер,"Premier Digital, CP Дистрибуция",,,
Мария,movie,2024,124.0,"[{'name': 'драма'}, {'name': 'биография'}, {'name': 'музыка'}]",7.01,6.4,6.8,41.6667,,62089,17633,213,12,0,,,,,,,,2024-11-28T00:00:00.000Z,2024-08-29T00:00:00.000Z,428958.0,$,,,19108979.0,$,,,,,
"Там, где сердце",movie,2000,120.0,"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'комедия'}]",7.63,6.7,4.7,0.0,,62086,37234,98,0,0,$,15000000.0,,,,,,2000-12-28T00:00:00.000Z,2000-04-28T00:00:00.000Z,,,33772838.0,$,40863718.0,$,,,,,
Триумф,movie,2021,100.0,"[{'name': 'спорт'}, {'name': 'драма'}]",7.338,5.8,0.0,0.0,,62076,580,0,1,0,,,,2021-12-13T00:00:00.000Z,,,,2021-11-25T00:00:00.000Z,2021-04-30T00:00:00.000Z,19714.0,$,,,1743.0,$,,,,,
Игры шпионов,movie,2020,112.0,"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'детектив'}, {'name': 'военный'}, {'name': 'история'}]",7.149,7.2,6.8,66.6667,,62071,77946,215,3,0,,,,,,,,2021-03-18T00:00:00.000Z,2020-01-24T00:00:00.000Z,638784.0,$,6613432.0,$,26001227.0,$,,,,,
Крымский мост. Сделано с любовью!,movie,2018,102.0,"[{'name': 'комедия'}, {'name': 'мелодрама'}]",2.863,1.1,0.0,0.0,,62019,1233,0,4,0,₽,154245687.0,,2019-03-04T00:00:00.000Z,,,,2018-11-01T00:00:00.000Z,,1066431.0,$,,,1024299.0,$,,,,,
Армия мертвецов,movie,2021,148.0,"[{'name': 'ужасы'}, {'name': 'драма'}, {'name': 'боевик'}]",5.895,5.8,6.1,46.6667,,62007,194275,291,15,0,$,90000000.0,,2021-05-21T00:00:00.000Z,,,,,2021-05-14T00:00:00.000Z,,,,,,,,,,,
Ларго Винч: Гнев прошлого,movie,2024,100.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'приключения'}, {'name': 'детектив'}, {'name': 'криминал'}]",6.625,5.0,0.0,66.6667,,61998,1046,0,3,0,,,,,,,,2024-08-29T00:00:00.000Z,2024-06-18T00:00:00.000Z,486204.0,$,,,3641429.0,$,,,,,
Три идиота,movie,2009,170.0,"[{'name': 'комедия'}, {'name': 'мелодрама'}]",8.064,8.4,7.3,0.0,,61968,452804,15,0,0,₹,550000000.0,,,,,,,2009-11-09T00:00:00.000Z,,,6532874.0,$,60262836.0,$,,,,,
